Numero	Code	Browser	Appl	Goog	Twtr.	One	FB	FBM	Sams.	Wind.	GMail	SB	DCM	KDDI	CLDR Short Name
496	U+1F471 U+1F3FE U+200D U+2640 U+FE0F	👱🏾‍♀️	👱🏾‍♀️	👱🏾‍♀️	👱🏾‍♀️	👱🏾‍♀️	👱🏾‍♀️	—	👱🏾‍♀️	👱🏾‍♀️	—	—	—	—	blond-haired woman: medium-dark skin tone
497	U+1F471 U+1F3FF U+200D U+2640 U+FE0F	👱🏿‍♀️	👱🏿‍♀️	👱🏿‍♀️	👱🏿‍♀️	👱🏿‍♀️	👱🏿‍♀️	—	👱🏿‍♀️	👱🏿‍♀️	—	—	—	—	blond-haired woman: dark skin tone
498	U+1F935	🤵	🤵	🤵	🤵	🤵	🤵	—	🤵	🤵	—	—	—	—	man in tuxedo
499	U+1F935 U+1F3FB	🤵🏻	🤵🏻	🤵🏻	🤵🏻	🤵🏻	🤵🏻	—	🤵🏻	🤵🏻	—	—	—	—	man in tuxedo: light skin tone
500	U+1F935 U+1F3FC	🤵🏼	🤵🏼	🤵🏼	🤵🏼	🤵🏼	🤵🏼	—	🤵🏼	🤵🏼	—	—	—	—	man in tuxedo: medium-light skin tone
501	U+1F935 U+1F3FD	🤵🏽	🤵🏽	🤵🏽	🤵🏽	🤵🏽	🤵🏽	—	🤵🏽	🤵🏽	—	—	—	—	man in tuxedo: medium skin tone
502	U+1F935 U+1F3FE	🤵🏾	🤵🏾	🤵🏾	🤵🏾	🤵🏾	🤵🏾	—	🤵🏾	🤵🏾	—	—	—	—	man in tuxedo: medium-dark skin tone
503	U+1F935 U+1F3FF	🤵🏿	🤵🏿	🤵🏿	🤵🏿	🤵🏿	🤵🏿	—	🤵🏿	🤵🏿	—	—	—	—	man in tuxedo: dark skin tone
504	U+1F470	👰	👰	👰	👰	👰	👰	👰	👰	👰	👰	—	—	👰	bride with veil
505	U+1F470 U+1F3FB	👰🏻	👰🏻	👰🏻	👰🏻	👰🏻	👰🏻	👰🏻	👰🏻	👰🏻	—	—	—	—	bride with veil: light skin tone
506	U+1F470 U+1F3FC	👰🏼	👰🏼	👰🏼	👰🏼	👰🏼	👰🏼	👰🏼	👰🏼	👰🏼	—	—	—	—	bride with veil: medium-light skin tone
507	U+1F470 U+1F3FD	👰🏽	👰🏽	👰🏽	👰🏽	👰🏽	👰🏽	👰🏽	👰🏽	👰🏽	—	—	—	—	bride with veil: medium skin tone
508	U+1F470 U+1F3FE	👰🏾	👰🏾	👰🏾	👰🏾	👰🏾	👰🏾	👰🏾	👰🏾	👰🏾	—	—	—	—	bride with veil: medium-dark skin tone
509	U+1F470 U+1F3FF	👰🏿	👰🏿	👰🏿	👰🏿	👰🏿	👰🏿	👰🏿	👰🏿	👰🏿	—	—	—	—	bride with veil: dark skin tone
510	U+1F930	🤰	🤰	🤰	🤰	🤰	🤰	—	🤰	🤰	—	—	—	—	pregnant woman
511	U+1F930 U+1F3FB	🤰🏻	🤰🏻	🤰🏻	🤰🏻	🤰🏻	🤰🏻	—	🤰🏻	🤰🏻	—	—	—	—	pregnant woman: light skin tone
512	U+1F930 U+1F3FC	🤰🏼	🤰🏼	🤰🏼	🤰🏼	🤰🏼	🤰🏼	—	🤰🏼	🤰🏼	—	—	—	—	pregnant woman: medium-light skin tone
513	U+1F930 U+1F3FD	🤰🏽	🤰🏽	🤰🏽	🤰🏽	🤰🏽	🤰🏽	—	🤰🏽	🤰🏽	—	—	—	—	pregnant woman: medium skin tone
514	U+1F930 U+1F3FE	🤰🏾	🤰🏾	🤰🏾	🤰🏾	🤰🏾	🤰🏾	—	🤰🏾	🤰🏾	—	—	—	—	pregnant woman: medium-dark skin tone
515	U+1F930 U+1F3FF	🤰🏿	🤰🏿	🤰🏿	🤰🏿	🤰🏿	🤰🏿	—	🤰🏿	🤰🏿	—	—	—	—	pregnant woman: dark skin tone
516	U+1F931	🤱	—	🤱	🤱	🤱	🤱	—	—	—	—	—	—	—	⊛ breast-feeding
517	U+1F931 U+1F3FB	🤱🏻	—	🤱🏻	🤱🏻	🤱🏻	🤱🏻	—	—	—	—	—	—	—	⊛ breast-feeding: light skin tone
518	U+1F931 U+1F3FC	🤱🏼	—	🤱🏼	🤱🏼	🤱🏼	🤱🏼	—	—	—	—	—	—	—	⊛ breast-feeding: medium-light skin tone
519	U+1F931 U+1F3FD	🤱🏽	—	🤱🏽	🤱🏽	🤱🏽	🤱🏽	—	—	—	—	—	—	—	⊛ breast-feeding: medium skin tone
520	U+1F931 U+1F3FE	🤱🏾	—	🤱🏾	🤱🏾	🤱🏾	🤱🏾	—	—	—	—	—	—	—	⊛ breast-feeding: medium-dark skin tone
521	U+1F931 U+1F3FF	🤱🏿	—	🤱🏿	🤱🏿	🤱🏿	🤱🏿	—	—	—	—	—	—	—	⊛ breast-feeding: dark skin tone
522	U+1F47C	👼	👼	👼	👼	👼	👼	👼	👼	👼	👼	👼	—	👼	baby angel
523	U+1F47C U+1F3FB	👼🏻	👼🏻	👼🏻	👼🏻	👼🏻	👼🏻	👼🏻	👼🏻	👼🏻	—	—	—	—	baby angel: light skin tone
524	U+1F47C U+1F3FC	👼🏼	👼🏼	👼🏼	👼🏼	👼🏼	👼🏼	👼🏼	👼🏼	👼🏼	—	—	—	—	baby angel: medium-light skin tone
525	U+1F47C U+1F3FD	👼🏽	👼🏽	👼🏽	👼🏽	👼🏽	👼🏽	👼🏽	👼🏽	👼🏽	—	—	—	—	baby angel: medium skin tone
526	U+1F47C U+1F3FE	👼🏾	👼🏾	👼🏾	👼🏾	👼🏾	👼🏾	👼🏾	👼🏾	👼🏾	—	—	—	—	baby angel: medium-dark skin tone
527	U+1F47C U+1F3FF	👼🏿	👼🏿	👼🏿	👼🏿	👼🏿	👼🏿	👼🏿	👼🏿	👼🏿	—	—	—	—	baby angel: dark skin tone
528	U+1F385	🎅	🎅	🎅	🎅	🎅	🎅	🎅	🎅	🎅	🎅	🎅	—	🎅	Santa Claus
529	U+1F385 U+1F3FB	🎅🏻	🎅🏻	🎅🏻	🎅🏻	🎅🏻	🎅🏻	🎅🏻	🎅🏻	🎅🏻	—	—	—	—	Santa Claus: light skin tone
530	U+1F385 U+1F3FC	🎅🏼	🎅🏼	🎅🏼	🎅🏼	🎅🏼	🎅🏼	🎅🏼	🎅🏼	🎅🏼	—	—	—	—	Santa Claus: medium-light skin tone
531	U+1F385 U+1F3FD	🎅🏽	🎅🏽	🎅🏽	🎅🏽	🎅🏽	🎅🏽	🎅🏽	🎅🏽	🎅🏽	—	—	—	—	Santa Claus: medium skin tone
532	U+1F385 U+1F3FE	🎅🏾	🎅🏾	🎅🏾	🎅🏾	🎅🏾	🎅🏾	🎅🏾	🎅🏾	🎅🏾	—	—	—	—	Santa Claus: medium-dark skin tone
533	U+1F385 U+1F3FF	🎅🏿	🎅🏿	🎅🏿	🎅🏿	🎅🏿	🎅🏿	🎅🏿	🎅🏿	🎅🏿	—	—	—	—	Santa Claus: dark skin tone
534	U+1F936	🤶	🤶	🤶	🤶	🤶	🤶	—	🤶	🤶	—	—	—	—	Mrs. Claus
535	U+1F936 U+1F3FB	🤶🏻	🤶🏻	🤶🏻	🤶🏻	🤶🏻	🤶🏻	—	🤶🏻	🤶🏻	—	—	—	—	Mrs. Claus: light skin tone
536	U+1F936 U+1F3FC	🤶🏼	🤶🏼	🤶🏼	🤶🏼	🤶🏼	🤶🏼	—	🤶🏼	🤶🏼	—	—	—	—	Mrs. Claus: medium-light skin tone
537	U+1F936 U+1F3FD	🤶🏽	🤶🏽	🤶🏽	🤶🏽	🤶🏽	🤶🏽	—	🤶🏽	🤶🏽	—	—	—	—	Mrs. Claus: medium skin tone
538	U+1F936 U+1F3FE	🤶🏾	🤶🏾	🤶🏾	🤶🏾	🤶🏾	🤶🏾	—	🤶🏾	🤶🏾	—	—	—	—	Mrs. Claus: medium-dark skin tone
539	U+1F936 U+1F3FF	🤶🏿	🤶🏿	🤶🏿	🤶🏿	🤶🏿	🤶🏿	—	🤶🏿	🤶🏿	—	—	—	—	Mrs. Claus: dark skin tone
540	U+1F9D9	🧙	—	🧙	🧙	🧙	🧙	—	—	—	—	—	—	—	⊛ mage
541	U+1F9D9 U+1F3FB	🧙🏻	—	🧙🏻	🧙🏻	🧙🏻	🧙🏻	—	—	—	—	—	—	—	⊛ mage: light skin tone
542	U+1F9D9 U+1F3FC	🧙🏼	—	🧙🏼	🧙🏼	🧙🏼	🧙🏼	—	—	—	—	—	—	—	⊛ mage: medium-light skin tone
543	U+1F9D9 U+1F3FD	🧙🏽	—	🧙🏽	🧙🏽	🧙🏽	🧙🏽	—	—	—	—	—	—	—	⊛ mage: medium skin tone
544	U+1F9D9 U+1F3FE	🧙🏾	—	🧙🏾	🧙🏾	🧙🏾	🧙🏾	—	—	—	—	—	—	—	⊛ mage: medium-dark skin tone
545	U+1F9D9 U+1F3FF	🧙🏿	—	🧙🏿	🧙🏿	🧙🏿	🧙🏿	—	—	—	—	—	—	—	⊛ mage: dark skin tone
546	U+1F9D9 U+200D U+2640 U+FE0F	🧙‍♀️	—	🧙‍♀️	🧙‍♀️	🧙‍♀️	🧙‍♀️	—	—	—	—	—	—	—	⊛ woman mage
547	U+1F9D9 U+1F3FB U+200D U+2640 U+FE0F	🧙🏻‍♀️	—	🧙🏻‍♀️	🧙🏻‍♀️	🧙🏻‍♀️	🧙🏻‍♀️	—	—	—	—	—	—	—	⊛ woman mage: light skin tone
548	U+1F9D9 U+1F3FC U+200D U+2640 U+FE0F	🧙🏼‍♀️	—	🧙🏼‍♀️	🧙🏼‍♀️	🧙🏼‍♀️	🧙🏼‍♀️	—	—	—	—	—	—	—	⊛ woman mage: medium-light skin tone
549	U+1F9D9 U+1F3FD U+200D U+2640 U+FE0F	🧙🏽‍♀️	—	🧙🏽‍♀️	🧙🏽‍♀️	🧙🏽‍♀️	🧙🏽‍♀️	—	—	—	—	—	—	—	⊛ woman mage: medium skin tone
550	U+1F9D9 U+1F3FE U+200D U+2640 U+FE0F	🧙🏾‍♀️	—	🧙🏾‍♀️	🧙🏾‍♀️	🧙🏾‍♀️	🧙🏾‍♀️	—	—	—	—	—	—	—	⊛ woman mage: medium-dark skin tone
551	U+1F9D9 U+1F3FF U+200D U+2640 U+FE0F	🧙🏿‍♀️	—	🧙🏿‍♀️	🧙🏿‍♀️	🧙🏿‍♀️	🧙🏿‍♀️	—	—	—	—	—	—	—	⊛ woman mage: dark skin tone
552	U+1F9D9 U+200D U+2642 U+FE0F	🧙‍♂️	—	🧙‍♂️	🧙‍♂️	🧙‍♂️	🧙‍♂️	—	—	—	—	—	—	—	⊛ man mage
553	U+1F9D9 U+1F3FB U+200D U+2642 U+FE0F	🧙🏻‍♂️	—	🧙🏻‍♂️	🧙🏻‍♂️	🧙🏻‍♂️	🧙🏻‍♂️	—	—	—	—	—	—	—	⊛ man mage: light skin tone
554	U+1F9D9 U+1F3FC U+200D U+2642 U+FE0F	🧙🏼‍♂️	—	🧙🏼‍♂️	🧙🏼‍♂️	🧙🏼‍♂️	🧙🏼‍♂️	—	—	—	—	—	—	—	⊛ man mage: medium-light skin tone
555	U+1F9D9 U+1F3FD U+200D U+2642 U+FE0F	🧙🏽‍♂️	—	🧙🏽‍♂️	🧙🏽‍♂️	🧙🏽‍♂️	🧙🏽‍♂️	—	—	—	—	—	—	—	⊛ man mage: medium skin tone
556	U+1F9D9 U+1F3FE U+200D U+2642 U+FE0F	🧙🏾‍♂️	—	🧙🏾‍♂️	🧙🏾‍♂️	🧙🏾‍♂️	🧙🏾‍♂️	—	—	—	—	—	—	—	⊛ man mage: medium-dark skin tone
557	U+1F9D9 U+1F3FF U+200D U+2642 U+FE0F	🧙🏿‍♂️	—	🧙🏿‍♂️	🧙🏿‍♂️	🧙🏿‍♂️	🧙🏿‍♂️	—	—	—	—	—	—	—	⊛ man mage: dark skin tone
558	U+1F9DA	🧚	—	🧚	🧚	🧚	🧚	—	—	—	—	—	—	—	⊛ fairy
559	U+1F9DA U+1F3FB	🧚🏻	—	🧚🏻	🧚🏻	🧚🏻	🧚🏻	—	—	—	—	—	—	—	⊛ fairy: light skin tone
560	U+1F9DA U+1F3FC	🧚🏼	—	🧚🏼	🧚🏼	🧚🏼	🧚🏼	—	—	—	—	—	—	—	⊛ fairy: medium-light skin tone
561	U+1F9DA U+1F3FD	🧚🏽	—	🧚🏽	🧚🏽	🧚🏽	🧚🏽	—	—	—	—	—	—	—	⊛ fairy: medium skin tone
562	U+1F9DA U+1F3FE	🧚🏾	—	🧚🏾	🧚🏾	🧚🏾	🧚🏾	—	—	—	—	—	—	—	⊛ fairy: medium-dark skin tone
563	U+1F9DA U+1F3FF	🧚🏿	—	🧚🏿	🧚🏿	🧚🏿	🧚🏿	—	—	—	—	—	—	—	⊛ fairy: dark skin tone
564	U+1F9DA U+200D U+2640 U+FE0F	🧚‍♀️	—	🧚‍♀️	🧚‍♀️	🧚‍♀️	🧚‍♀️	—	—	—	—	—	—	—	⊛ woman fairy
565	U+1F9DA U+1F3FB U+200D U+2640 U+FE0F	🧚🏻‍♀️	—	🧚🏻‍♀️	🧚🏻‍♀️	🧚🏻‍♀️	🧚🏻‍♀️	—	—	—	—	—	—	—	⊛ woman fairy: light skin tone
566	U+1F9DA U+1F3FC U+200D U+2640 U+FE0F	🧚🏼‍♀️	—	🧚🏼‍♀️	🧚🏼‍♀️	🧚🏼‍♀️	🧚🏼‍♀️	—	—	—	—	—	—	—	⊛ woman fairy: medium-light skin tone
567	U+1F9DA U+1F3FD U+200D U+2640 U+FE0F	🧚🏽‍♀️	—	🧚🏽‍♀️	🧚🏽‍♀️	🧚🏽‍♀️	🧚🏽‍♀️	—	—	—	—	—	—	—	⊛ woman fairy: medium skin tone
568	U+1F9DA U+1F3FE U+200D U+2640 U+FE0F	🧚🏾‍♀️	—	🧚🏾‍♀️	🧚🏾‍♀️	🧚🏾‍♀️	🧚🏾‍♀️	—	—	—	—	—	—	—	⊛ woman fairy: medium-dark skin tone
569	U+1F9DA U+1F3FF U+200D U+2640 U+FE0F	🧚🏿‍♀️	—	🧚🏿‍♀️	🧚🏿‍♀️	🧚🏿‍♀️	🧚🏿‍♀️	—	—	—	—	—	—	—	⊛ woman fairy: dark skin tone
570	U+1F9DA U+200D U+2642 U+FE0F	🧚‍♂️	—	🧚‍♂️	🧚‍♂️	🧚‍♂️	🧚‍♂️	—	—	—	—	—	—	—	⊛ man fairy
571	U+1F9DA U+1F3FB U+200D U+2642 U+FE0F	🧚🏻‍♂️	—	🧚🏻‍♂️	🧚🏻‍♂️	🧚🏻‍♂️	🧚🏻‍♂️	—	—	—	—	—	—	—	⊛ man fairy: light skin tone
572	U+1F9DA U+1F3FC U+200D U+2642 U+FE0F	🧚🏼‍♂️	—	🧚🏼‍♂️	🧚🏼‍♂️	🧚🏼‍♂️	🧚🏼‍♂️	—	—	—	—	—	—	—	⊛ man fairy: medium-light skin tone
573	U+1F9DA U+1F3FD U+200D U+2642 U+FE0F	🧚🏽‍♂️	—	🧚🏽‍♂️	🧚🏽‍♂️	🧚🏽‍♂️	🧚🏽‍♂️	—	—	—	—	—	—	—	⊛ man fairy: medium skin tone
574	U+1F9DA U+1F3FE U+200D U+2642 U+FE0F	🧚🏾‍♂️	—	🧚🏾‍♂️	🧚🏾‍♂️	🧚🏾‍♂️	🧚🏾‍♂️	—	—	—	—	—	—	—	⊛ man fairy: medium-dark skin tone
575	U+1F9DA U+1F3FF U+200D U+2642 U+FE0F	🧚🏿‍♂️	—	🧚🏿‍♂️	🧚🏿‍♂️	🧚🏿‍♂️	🧚🏿‍♂️	—	—	—	—	—	—	—	⊛ man fairy: dark skin tone
576	U+1F9DB	🧛	—	🧛	🧛	🧛	🧛	—	—	—	—	—	—	—	⊛ vampire
577	U+1F9DB U+1F3FB	🧛🏻	—	🧛🏻	🧛🏻	🧛🏻	🧛🏻	—	—	—	—	—	—	—	⊛ vampire: light skin tone
578	U+1F9DB U+1F3FC	🧛🏼	—	🧛🏼	🧛🏼	🧛🏼	🧛🏼	—	—	—	—	—	—	—	⊛ vampire: medium-light skin tone
579	U+1F9DB U+1F3FD	🧛🏽	—	🧛🏽	🧛🏽	🧛🏽	🧛🏽	—	—	—	—	—	—	—	⊛ vampire: medium skin tone
580	U+1F9DB U+1F3FE	🧛🏾	—	🧛🏾	🧛🏾	🧛🏾	🧛🏾	—	—	—	—	—	—	—	⊛ vampire: medium-dark skin tone
581	U+1F9DB U+1F3FF	🧛🏿	—	🧛🏿	🧛🏿	🧛🏿	🧛🏿	—	—	—	—	—	—	—	⊛ vampire: dark skin tone
582	U+1F9DB U+200D U+2640 U+FE0F	🧛‍♀️	—	🧛‍♀️	🧛‍♀️	🧛‍♀️	🧛‍♀️	—	—	—	—	—	—	—	⊛ woman vampire
583	U+1F9DB U+1F3FB U+200D U+2640 U+FE0F	🧛🏻‍♀️	—	🧛🏻‍♀️	🧛🏻‍♀️	🧛🏻‍♀️	🧛🏻‍♀️	—	—	—	—	—	—	—	⊛ woman vampire: light skin tone
584	U+1F9DB U+1F3FC U+200D U+2640 U+FE0F	🧛🏼‍♀️	—	🧛🏼‍♀️	🧛🏼‍♀️	🧛🏼‍♀️	🧛🏼‍♀️	—	—	—	—	—	—	—	⊛ woman vampire: medium-light skin tone
585	U+1F9DB U+1F3FD U+200D U+2640 U+FE0F	🧛🏽‍♀️	—	🧛🏽‍♀️	🧛🏽‍♀️	🧛🏽‍♀️	🧛🏽‍♀️	—	—	—	—	—	—	—	⊛ woman vampire: medium skin tone
586	U+1F9DB U+1F3FE U+200D U+2640 U+FE0F	🧛🏾‍♀️	—	🧛🏾‍♀️	🧛🏾‍♀️	🧛🏾‍♀️	🧛🏾‍♀️	—	—	—	—	—	—	—	⊛ woman vampire: medium-dark skin tone
587	U+1F9DB U+1F3FF U+200D U+2640 U+FE0F	🧛🏿‍♀️	—	🧛🏿‍♀️	🧛🏿‍♀️	🧛🏿‍♀️	🧛🏿‍♀️	—	—	—	—	—	—	—	⊛ woman vampire: dark skin tone
588	U+1F9DB U+200D U+2642 U+FE0F	🧛‍♂️	—	🧛‍♂️	🧛‍♂️	🧛‍♂️	🧛‍♂️	—	—	—	—	—	—	—	⊛ man vampire
589	U+1F9DB U+1F3FB U+200D U+2642 U+FE0F	🧛🏻‍♂️	—	🧛🏻‍♂️	🧛🏻‍♂️	🧛🏻‍♂️	🧛🏻‍♂️	—	—	—	—	—	—	—	⊛ man vampire: light skin tone
590	U+1F9DB U+1F3FC U+200D U+2642 U+FE0F	🧛🏼‍♂️	—	🧛🏼‍♂️	🧛🏼‍♂️	🧛🏼‍♂️	🧛🏼‍♂️	—	—	—	—	—	—	—	⊛ man vampire: medium-light skin tone
591	U+1F9DB U+1F3FD U+200D U+2642 U+FE0F	🧛🏽‍♂️	—	🧛🏽‍♂️	🧛🏽‍♂️	🧛🏽‍♂️	🧛🏽‍♂️	—	—	—	—	—	—	—	⊛ man vampire: medium skin tone
592	U+1F9DB U+1F3FE U+200D U+2642 U+FE0F	🧛🏾‍♂️	—	🧛🏾‍♂️	🧛🏾‍♂️	🧛🏾‍♂️	🧛🏾‍♂️	—	—	—	—	—	—	—	⊛ man vampire: medium-dark skin tone
593	U+1F9DB U+1F3FF U+200D U+2642 U+FE0F	🧛🏿‍♂️	—	🧛🏿‍♂️	🧛🏿‍♂️	🧛🏿‍♂️	🧛🏿‍♂️	—	—	—	—	—	—	—	⊛ man vampire: dark skin tone
594	U+1F9DC	🧜	—	🧜	🧜	🧜	🧜	—	—	—	—	—	—	—	⊛ merperson
595	U+1F9DC U+1F3FB	🧜🏻	—	🧜🏻	🧜🏻	🧜🏻	🧜🏻	—	—	—	—	—	—	—	⊛ merperson: light skin tone
596	U+1F9DC U+1F3FC	🧜🏼	—	🧜🏼	🧜🏼	🧜🏼	🧜🏼	—	—	—	—	—	—	—	⊛ merperson: medium-light skin tone
597	U+1F9DC U+1F3FD	🧜🏽	—	🧜🏽	🧜🏽	🧜🏽	🧜🏽	—	—	—	—	—	—	—	⊛ merperson: medium skin tone
598	U+1F9DC U+1F3FE	🧜🏾	—	🧜🏾	🧜🏾	🧜🏾	🧜🏾	—	—	—	—	—	—	—	⊛ merperson: medium-dark skin tone
599	U+1F9DC U+1F3FF	🧜🏿	—	🧜🏿	🧜🏿	🧜🏿	🧜🏿	—	—	—	—	—	—	—	⊛ merperson: dark skin tone
600	U+1F9DC U+200D U+2640 U+FE0F	🧜‍♀️	—	🧜‍♀️	🧜‍♀️	🧜‍♀️	🧜‍♀️	—	—	—	—	—	—	—	⊛ mermaid
601	U+1F9DC U+1F3FB U+200D U+2640 U+FE0F	🧜🏻‍♀️	—	🧜🏻‍♀️	🧜🏻‍♀️	🧜🏻‍♀️	🧜🏻‍♀️	—	—	—	—	—	—	—	⊛ mermaid: light skin tone
602	U+1F9DC U+1F3FC U+200D U+2640 U+FE0F	🧜🏼‍♀️	—	🧜🏼‍♀️	🧜🏼‍♀️	🧜🏼‍♀️	🧜🏼‍♀️	—	—	—	—	—	—	—	⊛ mermaid: medium-light skin tone
603	U+1F9DC U+1F3FD U+200D U+2640 U+FE0F	🧜🏽‍♀️	—	🧜🏽‍♀️	🧜🏽‍♀️	🧜🏽‍♀️	🧜🏽‍♀️	—	—	—	—	—	—	—	⊛ mermaid: medium skin tone
604	U+1F9DC U+1F3FE U+200D U+2640 U+FE0F	🧜🏾‍♀️	—	🧜🏾‍♀️	🧜🏾‍♀️	🧜🏾‍♀️	🧜🏾‍♀️	—	—	—	—	—	—	—	⊛ mermaid: medium-dark skin tone
605	U+1F9DC U+1F3FF U+200D U+2640 U+FE0F	🧜🏿‍♀️	—	🧜🏿‍♀️	🧜🏿‍♀️	🧜🏿‍♀️	🧜🏿‍♀️	—	—	—	—	—	—	—	⊛ mermaid: dark skin tone
606	U+1F9DC U+200D U+2642 U+FE0F	🧜‍♂️	—	🧜‍♂️	🧜‍♂️	🧜‍♂️	🧜‍♂️	—	—	—	—	—	—	—	⊛ merman
607	U+1F9DC U+1F3FB U+200D U+2642 U+FE0F	🧜🏻‍♂️	—	🧜🏻‍♂️	🧜🏻‍♂️	🧜🏻‍♂️	🧜🏻‍♂️	—	—	—	—	—	—	—	⊛ merman: light skin tone
608	U+1F9DC U+1F3FC U+200D U+2642 U+FE0F	🧜🏼‍♂️	—	🧜🏼‍♂️	🧜🏼‍♂️	🧜🏼‍♂️	🧜🏼‍♂️	—	—	—	—	—	—	—	⊛ merman: medium-light skin tone
609	U+1F9DC U+1F3FD U+200D U+2642 U+FE0F	🧜🏽‍♂️	—	🧜🏽‍♂️	🧜🏽‍♂️	🧜🏽‍♂️	🧜🏽‍♂️	—	—	—	—	—	—	—	⊛ merman: medium skin tone
610	U+1F9DC U+1F3FE U+200D U+2642 U+FE0F	🧜🏾‍♂️	—	🧜🏾‍♂️	🧜🏾‍♂️	🧜🏾‍♂️	🧜🏾‍♂️	—	—	—	—	—	—	—	⊛ merman: medium-dark skin tone
611	U+1F9DC U+1F3FF U+200D U+2642 U+FE0F	🧜🏿‍♂️	—	🧜🏿‍♂️	🧜🏿‍♂️	🧜🏿‍♂️	🧜🏿‍♂️	—	—	—	—	—	—	—	⊛ merman: dark skin tone
612	U+1F9DD	🧝	—	🧝	🧝	🧝	🧝	—	—	—	—	—	—	—	⊛ elf
613	U+1F9DD U+1F3FB	🧝🏻	—	🧝🏻	🧝🏻	🧝🏻	🧝🏻	—	—	—	—	—	—	—	⊛ elf: light skin tone
614	U+1F9DD U+1F3FC	🧝🏼	—	🧝🏼	🧝🏼	🧝🏼	🧝🏼	—	—	—	—	—	—	—	⊛ elf: medium-light skin tone
615	U+1F9DD U+1F3FD	🧝🏽	—	🧝🏽	🧝🏽	🧝🏽	🧝🏽	—	—	—	—	—	—	—	⊛ elf: medium skin tone
616	U+1F9DD U+1F3FE	🧝🏾	—	🧝🏾	🧝🏾	🧝🏾	🧝🏾	—	—	—	—	—	—	—	⊛ elf: medium-dark skin tone
617	U+1F9DD U+1F3FF	🧝🏿	—	🧝🏿	🧝🏿	🧝🏿	🧝🏿	—	—	—	—	—	—	—	⊛ elf: dark skin tone
618	U+1F9DD U+200D U+2640 U+FE0F	🧝‍♀️	—	🧝‍♀️	🧝‍♀️	🧝‍♀️	🧝‍♀️	—	—	—	—	—	—	—	⊛ woman elf
619	U+1F9DD U+1F3FB U+200D U+2640 U+FE0F	🧝🏻‍♀️	—	🧝🏻‍♀️	🧝🏻‍♀️	🧝🏻‍♀️	🧝🏻‍♀️	—	—	—	—	—	—	—	⊛ woman elf: light skin tone
620	U+1F9DD U+1F3FC U+200D U+2640 U+FE0F	🧝🏼‍♀️	—	🧝🏼‍♀️	🧝🏼‍♀️	🧝🏼‍♀️	🧝🏼‍♀️	—	—	—	—	—	—	—	⊛ woman elf: medium-light skin tone
621	U+1F9DD U+1F3FD U+200D U+2640 U+FE0F	🧝🏽‍♀️	—	🧝🏽‍♀️	🧝🏽‍♀️	🧝🏽‍♀️	🧝🏽‍♀️	—	—	—	—	—	—	—	⊛ woman elf: medium skin tone
622	U+1F9DD U+1F3FE U+200D U+2640 U+FE0F	🧝🏾‍♀️	—	🧝🏾‍♀️	🧝🏾‍♀️	🧝🏾‍♀️	🧝🏾‍♀️	—	—	—	—	—	—	—	⊛ woman elf: medium-dark skin tone
623	U+1F9DD U+1F3FF U+200D U+2640 U+FE0F	🧝🏿‍♀️	—	🧝🏿‍♀️	🧝🏿‍♀️	🧝🏿‍♀️	🧝🏿‍♀️	—	—	—	—	—	—	—	⊛ woman elf: dark skin tone
624	U+1F9DD U+200D U+2642 U+FE0F	🧝‍♂️	—	🧝‍♂️	🧝‍♂️	🧝‍♂️	🧝‍♂️	—	—	—	—	—	—	—	⊛ man elf
625	U+1F9DD U+1F3FB U+200D U+2642 U+FE0F	🧝🏻‍♂️	—	🧝🏻‍♂️	🧝🏻‍♂️	🧝🏻‍♂️	🧝🏻‍♂️	—	—	—	—	—	—	—	⊛ man elf: light skin tone
626	U+1F9DD U+1F3FC U+200D U+2642 U+FE0F	🧝🏼‍♂️	—	🧝🏼‍♂️	🧝🏼‍♂️	🧝🏼‍♂️	🧝🏼‍♂️	—	—	—	—	—	—	—	⊛ man elf: medium-light skin tone
627	U+1F9DD U+1F3FD U+200D U+2642 U+FE0F	🧝🏽‍♂️	—	🧝🏽‍♂️	🧝🏽‍♂️	🧝🏽‍♂️	🧝🏽‍♂️	—	—	—	—	—	—	—	⊛ man elf: medium skin tone
628	U+1F9DD U+1F3FE U+200D U+2642 U+FE0F	🧝🏾‍♂️	—	🧝🏾‍♂️	🧝🏾‍♂️	🧝🏾‍♂️	🧝🏾‍♂️	—	—	—	—	—	—	—	⊛ man elf: medium-dark skin tone
629	U+1F9DD U+1F3FF U+200D U+2642 U+FE0F	🧝🏿‍♂️	—	🧝🏿‍♂️	🧝🏿‍♂️	🧝🏿‍♂️	🧝🏿‍♂️	—	—	—	—	—	—	—	⊛ man elf: dark skin tone
630	U+1F9DE	🧞	—	🧞	🧞	🧞	🧞	—	—	—	—	—	—	—	⊛ genie
631	U+1F9DE U+200D U+2640 U+FE0F	🧞‍♀️	—	🧞‍♀️	🧞‍♀️	🧞‍♀️	🧞‍♀️	—	—	—	—	—	—	—	⊛ woman genie
632	U+1F9DE U+200D U+2642 U+FE0F	🧞‍♂️	—	🧞‍♂️	🧞‍♂️	🧞‍♂️	🧞‍♂️	—	—	—	—	—	—	—	⊛ man genie
633	U+1F9DF	🧟	—	🧟	🧟	🧟	🧟	—	—	—	—	—	—	—	⊛ zombie
